label,ac_year,district,block,udise,school_name
BILASPUR (H.P.),850,BILASPUR (H.P.),GHUMARWIN-I,2080400301,GPS KANJYAN
GHUMARWIN-I,156,BILASPUR (H.P.),GHUMARWIN-I,2080400501,GPS HAMBOT
GHUMARWIN-II,129,BILASPUR (H.P.),GHUMARWIN-I,2080400502,GHS HAMBOT
JHANDUTTA,176,BILASPUR (H.P.),GHUMARWIN-I,2080400601,GPS BAGETU
SADAR,214,BILASPUR (H.P.),GHUMARWIN-I,2080400701,GPS BARI CHAUK
SWARGHAT,175,BILASPUR (H.P.),GHUMARWIN-I,2080400702,GMS BARI CHAUK
CHAMBA,1640,BILASPUR (H.P.),GHUMARWIN-I,2080401001,GPS BHATWARA
BANIKHET,119,BILASPUR (H.P.),GHUMARWIN-I,2080401002,GMS BHATWARA
BHARMOUR,86,BILASPUR (H.P.),GHUMARWIN-I,2080401201,GPS SONKHAR
CHAMBA,151,BILASPUR (H.P.),GHUMARWIN-I,2080401301,GPS HATWAR
CHOWARI,126,BILASPUR (H.P.),GHUMARWIN-I,2080401302,GPS KATHLAG
GAROLA,78,BILASPUR (H.P.),GHUMARWIN-I,2080401303,GSSS HATWAR
GEHRA,81,BILASPUR (H.P.),GHUMARWIN-I,2080401304,GPS DAIRE
HARDASPURA,127,BILASPUR (H.P.),GHUMARWIN-I,2080401401,GPS KOT
KALHEL,104,BILASPUR (H.P.),GHUMARWIN-I,2080401402,GSSS KOT
KIANI,109,BILASPUR (H.P.),GHUMARWIN-I,2080401501,GPS KOTLU
MEHLA,76,BILASPUR (H.P.),GHUMARWIN-I,2080402101,GPS GHANDALWIN
PANGI,95,BILASPUR (H.P.),GHUMARWIN-I,2080402102,GMS GHANDALWIN
SALOONI,134,BILASPUR (H.P.),GHUMARWIN-I,2080402301,GPS BALOTA
SIHUNTA,120,BILASPUR (H.P.),GHUMARWIN-I,2080402401,GPS TARGHEL
SUNDLA,127,BILASPUR (H.P.),GHUMARWIN-I,2080402402,GPS TARAUN
TISSA,107,BILASPUR (H.P.),GHUMARWIN-I,2080402403,GHS TARAUN
HAMIRPUR (H.P.),765,BILASPUR (H.P.),GHUMARWIN-I,2080403101,GPS MARHANA
BHORANJ,160,BILASPUR (H.P.),GHUMARWIN-I,2080403102,GPS KUTHERA
BIJHARI,168,BILASPUR (H.P.),GHUMARWIN-I,2080403103,GMS KUTHERA MARHANA 
GALORE,90,BILASPUR (H.P.),GHUMARWIN-I,2080403104,GSSS MARHANA
HAMIRPUR,155,BILASPUR (H.P.),GHUMARWIN-I,2080403201,GPS THADOH
NADAUN,96,BILASPUR (H.P.),GHUMARWIN-I,2080403401,GPS PANTEHRA
SUJANPUR,96,BILASPUR (H.P.),GHUMARWIN-I,2080403402,GHS PANTEHRA
KANGRA,2537,BILASPUR (H.P.),GHUMARWIN-I,2080403601,GPS BUM
BAIJNATH,142,BILASPUR (H.P.),GHUMARWIN-I,2080403602,GMS BUM
BHAWARNA,129,BILASPUR (H.P.),GHUMARWIN-I,2080403603,GPS THUILA
CHADHIAR,49,BILASPUR (H.P.),GHUMARWIN-I,2080403604,GPS KOTLU
DADASIBA,177,BILASPUR (H.P.),GHUMARWIN-I,2080403701,GPS SALAON
DEHRA,147,BILASPUR (H.P.),GHUMARWIN-I,2080403702,GSSS SALAON
DHARAMSALA,125,BILASPUR (H.P.),GHUMARWIN-I,2080404101,GPS NALTI
FATEHPUR,129,BILASPUR (H.P.),GHUMARWIN-I,2080404102,GSSS NALTI
INDORA,136,BILASPUR (H.P.),GHUMARWIN-I,2080404301,GPS KULWARI
JAWALI,87,BILASPUR (H.P.),GHUMARWIN-I,2080404701,GPS LUHNOO
KANGRA,150,BILASPUR (H.P.),GHUMARWIN-I,2080405201,GPS MEHRIN KATHLA
LAMBAGAON,157,BILASPUR (H.P.),GHUMARWIN-I,2080405202,GHS LADDA CHAUGAN
NAGROTA BAGWAN,134,BILASPUR (H.P.),GHUMARWIN-I,2080406001,GPS DHARWARA
